variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF1,INWARD,0.4,3,8,5,3399,0.5,-0.00529567519858782,0.0,0.0,0.1282051282051282,0.0,0.5275080906148867,0.07031479847013827,0.08855545748749633
first_available,WF1,INWARD,0.4,5,8,3,769,0.38341013824884795,0.0039011703511053317,0.0,0.0,0.0,0.0,0.5253576072821846,0.045513654096228866,0.06501950585175553
first_available,WF2,INWARD,0.4,2,8,6,18551,1.1388888888888888,-0.05821788582825724,0.0,0.0,0.1293103448275863,-0.12195121951219501,0.5894021885612636,0.06452482345965177,0.09298690097568864
first_available,WF2,INWARD,0.4,5,8,3,853,0.0,-0.004689331770222743,0.0,0.0,0.0,0.0,0.4900351699882767,0.04689331770222743,0.06447831184056271
first_available,WF2,INWARD,0.4,3,8,5,3189,0.20000000000000018,0.0018814675446848542,0.0,0.0,0.0,0.0,0.5105048604578237,0.06302916274694262,0.08874255252430228
first_available,WF3,INWARD,0.4,2,8,6,18450,1.0,-0.050731707317073174,0.0,0.0,0.16129032258064524,-0.09146341463414635,0.5788075880758807,0.07100271002710028,0.09875338753387534
first_available,WF3,INWARD,0.4,3,8,5,3027,0.6136363636363633,-0.015857284440039643,0.0,0.0,0.0,-0.03472222222222224,0.557978196233895,0.05450941526263627,0.07135777998017839
first_available,WF3,INWARD,0.4,5,8,3,789,1.3333333333333335,-0.025348542458808618,0.0,0.0,0.0,-0.10295750162327462,0.6007604562737643,0.02788339670468948,0.053231939163498096
first_available,WF1,INWARD,0.8,2,8,6,13208,1.0,-0.07760448213204119,0.0,0.0,0.25,-0.18518518518518512,0.603725015142338,0.06049364021804967,0.10508782556026651
first_available,WF1,INWARD,0.8,5,8,3,3411,0.75,-0.02609205511580182,0.0,0.0,0.0793650793650793,-0.14285714285714285,0.5743183817062445,0.03107593081207857,0.06830841395485195
first_available,WF1,INWARD,0.8,3,8,5,4482,0.8369670590415454,-0.05042391789379741,0.0,0.0,0.18405146866255917,-0.10869565217391308,0.572735385988398,0.062025881302989735,0.08902275769745649
first_available,WF2,INWARD,0.8,2,8,6,12771,1.0416666666666667,-0.0920836269673479,0.0,0.0,0.18656716417910424,-0.21739130434782605,0.6160833137577324,0.05512489233419466,0.09474590869939707
first_available,WF2,INWARD,0.8,5,8,3,3537,0.36666666666666625,-0.04664970313825276,0.0,0.0,0.0,-0.09433962264150941,0.5349165959852983,0.031382527565733676,0.08481764206955046
