instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
AL,H5,B3,logistic,ALL,8813,0.5266307879162972,-0.013868827321688482,-0.022340116219192074,0.02477275100100905,1.4736883314210778e-05
AL,H5,B3,logistic,TOP50,5711,0.5199681893001646,-0.024591056869871508,-0.03673806010601721,0.016517533620709794,5.396198759068937e-07
AL,H5,B3,logistic,TOP30,4045,0.5240910082518258,-0.02909547919698996,-0.04763183280644445,0.01801151274838126,-6.169656409829359e-06
AL,H5,B3,logistic,TOP20,3005,0.530642925617733,-0.035584055176998364,-0.06110368135202515,0.017369933647419362,-1.291786169931108e-05
AL,H15,B0,gbr,ALL,7623,0.5216467047271724,-0.009249949339208863,-0.007219342275107676,0.0646214723188092,-0.00014173444748939474
AL,H15,B0,gbr,TOP50,4658,0.5268598712627475,-0.010258783100622226,-0.008011796891976841,0.07060201570079658,-0.0001829010422451773
AL,H15,B0,gbr,TOP30,3488,0.5313027045867135,-0.01011070593184149,-0.007971278523752234,0.0773604241566077,-0.00024334038297990222
AL,H15,B0,gbr,TOP20,2659,0.533407546418721,-0.011194250311555853,-0.00888519789459985,0.0775338898470165,-0.0003318938091269467
AL,H15,B0,logistic,ALL,7623,0.5237794975159183,-0.012705028620087155,-0.025942081716924692,0.016134582083365785,7.255488541715971e-06
AL,H15,B0,logistic,TOP50,4658,0.5218817420842287,-0.023470916371848727,-0.044265601510418806,0.009713025035364777,-4.157553935217445e-05
AL,H15,B0,logistic,TOP30,3488,0.5272769620353531,-0.02903636532913967,-0.05741039466853959,0.009754666849642744,-9.32512613326542e-05
AL,H15,B0,logistic,TOP20,2659,0.529603912536609,-0.03751793346793808,-0.0749126801646176,0.008347570784119384,-0.0003210604194887795
AL,H15,B1,gbr,ALL,7623,0.5225710431811772,-0.008245740756492648,-0.006471235852813173,0.07056664982081436,-0.00013028897397353978
